Date,Hour,Temp
2016-01-09,22,47.3
2016-01-09,23,46.0
2016-01-10,00,38.7
2016-01-10,01,37.5
2016-01-10,02,36.4
2016-01-10,03,35.3
2016-01-10,04,34.1
2016-01-10,05,33.0
2016-01-10,06,34.9
2016-01-10,07,36.8
2016-01-10,08,38.7
2016-01-10,09,40.6
2016-01-10,10,42.4
2016-01-10,11,44.3
2016-01-10,12,46.2
2016-01-10,13,48.1
2016-01-10,14,50.0
2016-01-10,15,48.9
2016-01-10,16,47.7
2016-01-10,17,46.6
2016-01-10,18,45.5
2016-01-10,19,44.3
2016-01-10,20,43.2
2016-01-10,21,42.1
2016-01-10,22,40.9
2016-01-10,23,39.8
2016-01-11,00,41.3
2016-01-11,01,39.9
2016-01-11,02,38.4
2016-01-11,03,36.9
2016-01-11,04,35.5
2016-01-11,05,34.0
2016-01-11,06,36.4
2016-01-11,07,38.9
2016-01-11,08,41.3
2016-01-11,09,43.8
2016-01-11,10,46.2
2016-01-11,11,48.7
2016-01-11,12,51.1
2016-01-11,13,53.6
2016-01-11,14,56.0
2016-01-11,15,54.5
2016-01-11,16,53.1
2016-01-11,17,51.6
2016-01-11,18,50.1
2016-01-11,19,48.7
2016-01-11,20,47.2
2016-01-11,21,45.7
2016-01-11,22,44.3
2016-01-11,23,42.8
2016-01-12,00,44.7
2016-01-12,01,42.5
2016-01-12,02,40.4
2016-01-12,03,38.3
2016-01-12,04,36.1
2016-01-12,05,34.0
2016-01-12,06,37.6
2016-01-12,07,41.1
2016-01-12,08,44.7
2016-01-12,09,48.2
2016-01-12,10,51.8
2016-01-12,11,55.3
2016-01-12,12,58.9
2016-01-12,13,62.4
2016-01-12,14,66.0
2016-01-12,15,63.9
2016-01-12,16,61.7
2016-01-12,17,59.6
2016-01-12,18,57.5
2016-01-12,19,55.3
2016-01-12,20,53.2
2016-01-12,21,51.1
2016-01-12,22,48.9
2016-01-12,23,46.8
2016-01-13,00,47.3
2016-01-13,01,45.5
2016-01-13,02,43.6
2016-01-13,03,41.7
2016-01-13,04,39.9
2016-01-13,05,38.0
2016-01-13,06,41.1
2016-01-13,07,44.2
2016-01-13,08,47.3
2016-01-13,09,50.4
2016-01-13,10,53.6
2016-01-13,11,56.7
2016-01-13,12,59.8
2016-01-13,13,62.9
2016-01-13,14,66.0
2016-01-13,15,64.1
2016-01-13,16,62.3
2016-01-13,17,60.4
2016-01-13,18,58.5
2016-01-13,19,56.7
2016-01-13,20,54.8
2016-01-13,21,52.9
2016-01-13,22,51.1
2016-01-13,23,49.2
2016-01-14,00,54.7
2016-01-14,01,53.1
2016-01-14,02,51.6
2016-01-14,03,50.1
2016-01-14,04,48.5
2016-01-14,05,47.0
2016-01-14,06,49.6
2016-01-14,07,52.1
2016-01-14,08,54.7
2016-01-14,09,57.2
2016-01-14,10,59.8
2016-01-14,11,62.3
2016-01-14,12,64.9
2016-01-14,13,67.4
2016-01-14,14,70.0
2016-01-14,15,68.5
2016-01-14,16,66.9
2016-01-14,17,65.4
2016-01-14,18,63.9
2016-01-14,19,62.3
2016-01-14,20,60.8
2016-01-14,21,59.3
2016-01-14,22,57.7
2016-01-14,23,56.2
2016-01-15,00,55.3
2016-01-15,01,53.9
2016-01-15,02,52.4
2016-01-15,03,50.9
2016-01-15,04,49.5
2016-01-15,05,48.0
2016-01-15,06,50.4
2016-01-15,07,52.9
2016-01-15,08,55.3
2016-01-15,09,57.8
